taxonomy,Lon,Lat,CK1occupants,CK1occupantsSTD,CK1structural,CK1structuralSTD,CK2occupants,CK2occupantsSTD,CK2structural,CK2structuralSTD,CKCoccupants,CKCoccupantsSTD,CKCstructural,CKCstructuralSTD,Voccupants,VoccupantsSTD,Vstructural,VstructuralSTD,SPoccupants,SPoccupantsSTD,SPstructural,SPstructuralSTD,Coccupants,CoccupantsSTD,Cstructural,CstructuralSTD,KPoccupants,KPoccupantsSTD,KPstructural,KPstructuralSTD,Toccupants,ToccupantsSTD,Tstructural,TstructuralSTD,N45occupants,N45occupantsSTD,N45structural,N45structuralSTD,Nrfoccupants,NrfoccupantsSTD,Nrfstructural,NrfstructuralSTD
CR+CIP/LFINF+DNO/FC/HBET:3-7,76.9974,43.3782,0.34409700000000004,0.4135888262226413,631471.3333333335,389463.109683061,0.454545,0.4887841378655818,752489.3333333335,435876.3386019021,0.40083566666666665,0.4537593362896239,695024.0,414815.0351192686,0.39705100000000004,0.4493017385249645,691694.3333333335,412254.017871533,0.2681086666666666,0.3525315042881511,542701.6666666665,350761.9271731501,0.246177,0.3390032992966293,510885.33333333326,338347.229955165,0.07481389999999999,0.21817,299644.0,317047.0,0.505502,0.5186246613677158,804096.0,453009.038134757,0.61693,0.5800602349634811,913026.0,486494.8497671893,0.484893,0.913411,766107.0,797032.0
CR+CIP/LFM+DUC/FC/HBET:1-7,76.9974,43.3782,0.2450833333333333,0.2954292858495169,485748.33333333326,295102.3676380039,0.3331313333333334,0.35525628106262164,593330.3333333335,337139.7572675825,0.291615,0.32740385090740765,544513.0,318370.8383744061,0.325081,0.3514830632573606,582368.3333333335,333489.9778792293,0.2500023333333334,0.2990877631025159,492974.66666666674,298370.6498637409,0.17229399999999995,0.2373457908261465,387988.0,252334.7099588164,0.127922,0.299589,330884.0,368941.0,0.4456916666666666,0.4278645569734785,714454.6666666665,381737.41649667453,0.5377453333333333,0.4772703471417199,809111.0,411651.35355486884,0.5524720000000001,0.8893110000000001,809309.0,756168.0
CR+PC/LWAL+DUC/FC/HBET:1-16,76.9974,43.3782,0.3071223333333333,0.6536936735029473,1187381.666666667,928432.4750531581,0.447736,0.8183956286811682,1497240.0,1093912.9310212743,0.37878666666666666,0.7377374942499685,1354450.0,1017142.033264447,0.4375423333333333,0.8143098623731767,1467420.0,1083213.0643701735,0.3135793333333334,0.6627641561142915,1206970.0,939516.2367942344,0.19864266666666666,0.4984966617925674,914274.0,766830.6001038009,0.123003,0.4544470000000001,748484.0,1025380.0,0.6560073333333333,1.0598561818001535,1867406.666666667,1295678.7345163063,0.8319773333333332,1.2221648501327471,2162396.666666666,1433234.923486028,0.898816,2.36895,2191380.0,2679760.0
MCF+MOC/LWAL+DNO/FC/HBET:1-5,76.9974,43.3782,0.18909866666666664,0.2586474682160171,330602.0,247969.34847633445,0.262278,0.3132969102578433,418209.66666666674,286153.95769934764,0.22748666666666664,0.2877478955870534,378137.66666666674,269089.1788296628,0.25577500000000003,0.30992829183484794,409368.66666666674,282852.86604149675,0.1929816666666667,0.2618234257741486,336284.0,250803.68607117573,0.12973936666666666,0.2060130638007104,252947.66666666663,209178.3826917962,0.0931337,0.253105,207552.0,300826.0,0.358282,0.3800218438740652,519095.66666666674,326376.6467770702,0.4375326666666666,0.4256147997967176,598748.0,353327.40995836834,0.452299,0.791853,600457.0,647075.0
MR+MOC/LWAL+DNO/FC/HBET:1-2,76.9974,43.3782,0.0002101584,0.0007864561764435589,14281.066666666668,20749.481372554837,0.0003591930000000001,0.0011643239531495427,20242.266666666666,26903.37620807718,0.0002683793333333333,0.0009285332801909807,16889.233333333334,23340.282344383828,0.0003917016666666667,0.001270979366883839,21084.066666666666,28172.936357926515,0.000264129,0.0009304680113314543,16607.93333333333,23306.121885580957,7.7221e-05,0.0003465253913964234,7926.760000000001,12863.646860694937,0.00190304,0.00716324,58003.3,107909.0,0.0009208026666666668,0.0023759655205808205,36728.833333333336,42977.138477127846,0.001369604,0.003129889844218873,47682.43333333333,51966.73590913711,0.0011589,0.00517382,39349.3,85976.7
MR+MOC/LWAL+DNO/FC/HBET:3-5,76.9974,43.3782,2.148846666666667,2.05376901109751,1528263.333333333,886509.3348947633,2.741063333333333,2.3475160090449267,1812800.0,966774.5635588705,2.4562600000000003,2.2133343842567785,1678703.333333333,931264.0489320596,2.4395466666666668,2.1981173621280754,1671740.0,926904.9880950884,1.7311766666666666,1.8104596517704803,1316173.333333333,816746.9724665856,1.5934166666666665,1.7376381116811024,1235122.333333333,789713.7861065025,0.605197,1.39134,718195.0,829281.0,3.0060866666666666,2.458082752227841,1931146.666666667,994081.8780552122,3.569316666666667,2.675373294213144,2176670.0,1044862.5661566956,2.85046,4.2989,1829110.0,1748660.0
MUR+ADO/LWAL+DNO/FW/HBET:1,76.9974,43.3782,0.08754456666666666,0.06800525628949572,72200.2,38764.459504751976,0.112296,0.07714813725626246,87443.16666666669,42282.83829246408,0.10103646666666667,0.07320996203993614,80669.59999999999,40840.26639984122,0.10970466666666667,0.07620769345020227,85781.86666666665,41862.5230551544,0.08918806666666668,0.0687737886851605,73322.76666666666,39141.09909512563,0.0655825,0.058256839664454864,57825.73333333334,34705.99979417584,0.0531342,0.08728589999999999,49664.2,54775.2,0.14000900000000002,0.08551589007702994,103279.3,45016.44210173533,0.16169433333333333,0.09089371983011564,115256.0,46631.68813601374,0.160881,0.16428199999999998,113718.0,84293.0
MUR+CLBRS/LWAL+DNO/FW/HBET:1-3,76.9974,43.3782,0.5002836666666667,0.4648705006802074,1617170.0,946771.3224955644,0.6587606666666667,0.5398767084941195,1980480.0,1050703.672661538,0.5856293333333333,0.5066044735629562,1817646.666666667,1006730.397436286,0.642842,0.533076201716144,1941646.666666667,1039333.5875454041,0.5100933333333333,0.4703396602835728,1642946.666666667,956585.4073793469,0.3640366666666667,0.38820753394214863,1280945.666666667,832670.6658163904,0.285636,0.556139,1089260.0,1285980.0,0.845252,0.6157588199247422,2369413.333333333,1141054.3894427938,0.9940773333333336,0.6661641509371228,2667623.333333333,1197833.653193223,0.998459,1.21095,2642040.0,2169380.0
MUR+MOCL/LWAL+DNO/FC/HBET:1-2,76.9974,43.3782,0.007752619999999998,0.0069696399684759745,144179.0,92235.02730946512,0.01015325666666667,0.008074072791968128,179126.33333333337,103023.24410647443,0.009047470000000002,0.007584800627937135,163400.33333333337,98428.09789779427,0.009911193333333334,0.007973616330680132,175411.33333333337,101872.19551640836,0.007902686666666665,0.00705114530334533,146620.66666666663,93216.97350268351,0.00567801,0.005837519503893184,112209.1,80498.48897477656,0.00448401,0.00839562,93970.8,123191.0,0.012960166666666668,0.009189011472949631,217006.0,112612.71490279314,0.01519343333333333,0.009928900806288232,246212.66666666663,118693.0939870649,0.0152468,0.0180578,244144.0,214994.0
UNK,76.9974,43.3782,0.05363843333333335,0.055741125674247216,205112.3333333333,143133.0884169617,0.07169156666666666,0.06571595207405885,257776.33333333328,162283.7051654362,0.06328423333333333,0.06120272719527201,233891.66666666663,153947.34569001186,0.0699412,0.06491207498010075,252294.33333333328,160402.25954144163,0.05470800000000001,0.05640715522433499,208664.3333333333,144718.55342199755,0.038397233333333336,0.04579278774912778,157734.0,122963.98085437686,0.029453,0.06288099999999999,130507.0,183645.0,0.09367823333333336,0.07656424359683542,316464.0,180653.1104292915,0.11142396666666664,0.08387777058845143,362239.33333333326,192645.39438391288,0.112848,0.153623,360825.0,350161.0
