lon,lat,vs30,z1pt0,z2pt5,vs30measured
76.51933,43.29219,4.838572E+02,2.487759E+02,1.017178E+00,0
76.51955,43.30119,4.742827E+02,2.608371E+02,1.040703E+00,0
76.51978,43.31019,5.288942E+02,1.951528E+02,9.187124E-01,0
76.52000,43.31919,4.722040E+02,2.634766E+02,1.045946E+00,0
76.52023,43.32819,3.953871E+02,3.613813E+02,1.281504E+00,0
76.52045,43.33719,5.285688E+02,1.955170E+02,9.193593E-01,0
76.52068,43.34620,5.127548E+02,2.136634E+02,9.518685E-01,0
76.52090,43.35520,3.911797E+02,3.664952E+02,1.297284E+00,0
76.52112,43.36420,4.295865E+02,3.183200E+02,1.165477E+00,0
76.52135,43.37320,3.783390E+02,3.817528E+02,1.347776E+00,0
76.52158,43.38220,3.441183E+02,4.191984E+02,1.502173E+00,0
76.52180,43.39120,3.705418E+02,3.907271E+02,1.380268E+00,0
76.52203,43.40020,4.364831E+02,3.094366E+02,1.144434E+00,0
76.52225,43.40920,5.711060E+02,1.514366E+02,8.414527E-01,0
76.51217,42.49984,6.000000E+02,1.258341E+02,7.952587E-01,0
76.51238,42.50884,3.820197E+02,3.774371E+02,1.332930E+00,0
76.51260,42.51785,4.298439E+02,3.179890E+02,1.164678E+00,0
76.51282,42.52685,4.622472E+02,2.762003E+02,1.071759E+00,0
76.51303,42.53585,4.740203E+02,2.611700E+02,1.041362E+00,0
76.51325,42.54485,4.567406E+02,2.832819E+02,1.086554E+00,0
76.51347,42.55386,4.409149E+02,3.037148E+02,1.131284E+00,0
76.51369,42.56286,4.633053E+02,2.748427E+02,1.068960E+00,0
76.51391,42.57186,4.578466E+02,2.818575E+02,1.083552E+00,0
76.51412,42.58086,5.173030E+02,2.083573E+02,9.423005E-01,0
76.51434,42.58987,5.110210E+02,2.157035E+02,9.555635E-01,0
76.51456,42.59887,5.007900E+02,2.279286E+02,9.779293E-01,0
76.51478,42.60787,5.180869E+02,2.074497E+02,9.406691E-01,0
76.51500,42.61687,5.070814E+02,2.203742E+02,9.640611E-01,0
76.51521,42.62588,6.188751E+02,1.110429E+02,7.675734E-01,0
76.51543,42.63488,8.708774E+02,1.888953E+01,5.192812E-01,0
76.51565,42.64388,9.000000E+02,1.545801E+01,5.001037E-01,0
76.51587,42.65288,6.881286E+02,6.886221E+01,6.798602E-01,0
76.51609,42.66189,5.200219E+02,2.052181E+02,9.366663E-01,0
76.51631,42.67089,5.288300E+02,1.952246E+02,9.188399E-01,0
76.51653,42.67989,5.693142E+02,1.531426E+02,8.444830E-01,0
76.51674,42.68889,6.297018E+02,1.032314E+02,7.524943E-01,0
76.51696,42.69790,6.355248E+02,9.922762E+01,7.446117E-01,0
76.51718,42.70690,7.020028E+02,6.243048E+01,6.645104E-01,0
76.51740,42.71590,7.295340E+02,5.133401E+01,6.359009E-01,0
76.51762,42.72490,7.227956E+02,5.385803E+01,6.426875E-01,0
76.51784,42.73391,7.450828E+02,4.594598E+01,6.207427E-01,0
76.51806,42.74291,7.066810E+02,6.039394E+01,6.594806E-01,0
76.51828,42.75191,8.883906E+02,1.673867E+01,5.075872E-01,0
76.51850,42.76091,8.492325E+02,2.196107E+01,5.344502E-01,0
76.51872,42.76992,5.440273E+02,1.786566E+02,8.895359E-01,0
76.51894,42.77892,8.979116E+02,1.568042E+01,5.014344E-01,0
76.51916,42.78792,8.959088E+02,1.589693E+01,5.027172E-01,0
76.51938,42.79692,9.000000E+02,1.545801E+01,5.001037E-01,0
76.51960,42.80592,9.000000E+02,1.545801E+01,5.001037E-01,0
76.51982,42.81493,9.000000E+02,1.545801E+01,5.001037E-01,0
76.52004,42.82393,9.000000E+02,1.545801E+01,5.001037E-01,0
76.52026,42.83293,6.878292E+02,6.900774E+01,6.801984E-01,0
76.52048,42.84193,9.000000E+02,1.545801E+01,5.001037E-01,0
76.52070,42.85094,9.000000E+02,1.545801E+01,5.001037E-01,0
76.52093,42.85994,9.000000E+02,1.545801E+01,5.001037E-01,0
76.52115,42.86894,9.000000E+02,1.545801E+01,5.001037E-01,0
76.52137,42.87794,9.000000E+02,1.545801E+01,5.001037E-01,0
76.52159,42.88694,6.690630E+02,7.872003E+01,7.020680E-01,0
76.52181,42.89595,8.619674E+02,2.009491E+01,5.254266E-01,0
76.52203,42.90495,7.406786E+02,4.741256E+01,6.249669E-01,0
76.52225,42.91395,8.691246E+02,1.912045E+01,5.204796E-01,0
76.52247,42.92295,5.564177E+02,1.658235E+02,8.669115E-01,0
76.52270,42.93195,9.000000E+02,1.545801E+01,5.001037E-01,0
76.52292,42.94096,9.000000E+02,1.545801E+01,5.001037E-01,0
76.52314,42.94996,9.000000E+02,1.545801E+01,5.001037E-01,0
76.52336,42.95896,9.000000E+02,1.545801E+01,5.001037E-01,0
76.52358,42.96796,7.995547E+02,3.116848E+01,5.726051E-01,0
76.52381,42.97696,8.159705E+02,2.774732E+01,5.594458E-01,0
76.52403,42.98597,7.169536E+02,5.614405E+01,6.486817E-01,0
76.52425,42.99497,8.718817E+02,1.875855E+01,5.185970E-01,0
76.52447,43.00397,9.000000E+02,1.545801E+01,5.001037E-01,0
76.52470,43.01297,9.000000E+02,1.545801E+01,5.001037E-01,0
76.52492,43.02197,9.000000E+02,1.545801E+01,5.001037E-01,0
76.52514,43.03098,8.149690E+02,2.794444E+01,5.602322E-01,0
76.52537,43.03998,8.625874E+02,2.000845E+01,5.249947E-01,0
76.52559,43.04898,7.703845E+02,3.835779E+01,5.974756E-01,0
76.52581,43.05798,6.376693E+02,9.778729E+01,7.417477E-01,0
76.52604,43.06698,6.480870E+02,9.104731E+01,7.281235E-01,0
76.52626,43.07598,6.647564E+02,8.112003E+01,7.072738E-01,0
76.52648,43.08499,6.614525E+02,8.300632E+01,7.113169E-01,0
76.52671,43.09399,6.574879E+02,8.532218E+01,7.162258E-01,0
76.52693,43.10299,7.208497E+02,5.460921E+01,6.446727E-01,0
76.52715,43.11199,6.781044E+02,7.389233E+01,6.913694E-01,0
76.52738,43.12099,9.000000E+02,1.545801E+01,5.001037E-01,0
76.52760,43.12999,9.000000E+02,1.545801E+01,5.001037E-01,0
76.52783,43.13900,9.000000E+02,1.545801E+01,5.001037E-01,0
76.52805,43.14800,7.978816E+02,3.154083E+01,5.739790E-01,0
76.52827,43.15700,6.824563E+02,7.166779E+01,6.863281E-01,0
76.52850,43.16600,6.261705E+02,1.057263E+02,7.573507E-01,0
76.52872,43.17500,5.689600E+02,1.534815E+02,8.450844E-01,0
