lon,lat,vs30,vs30measured,z1pt0,z2pt5
76.93988,43.33599,290.1687,0,466.114,1.82575
76.95225,43.33599,283.7503,0,470.6056,1.873072
76.97697,43.33599,278.173,0,474.3192,1.916095
76.98934,43.33599,294.1877,0,463.182,1.797244
77.0017,43.33599,297.1809,0,460.9384,1.776551
77.91668,43.33599,900,0,15.45801,0.5001037
76.60595,43.327,334.0982,0,429.1128,1.553823
76.82848,43.327,471.8119,0,263.9752,1.04694
76.8532,43.327,308.4206,0,452.0578,1.702682
76.90265,43.327,288.4878,0,467.313,1.837924
76.9521,43.327,286.4232,0,468.7637,1.853089
76.96446,43.327,298.7171,0,459.7672,1.766103
76.97683,43.327,286.7598,0,468.5288,1.850601
76.98919,43.327,300.4456,0,458.4333,1.754485
77.02628,43.327,345.5171,0,417.7737,1.495218
77.051,43.327,378.0929,0,382.0396,1.348779
77.11282,43.327,492.4228,0,238.1433,0.9969624
76.79127,43.31801,373.5045,0,387.3452,1.367751
76.86543,43.31801,293.4933,0,463.6952,1.80211
76.87779,43.31801,344.3352,0,418.978,1.50109
76.89016,43.31801,289.8572,0,466.3374,1.827995
76.91488,43.31801,302.6382,0,456.7164,1.73995
76.92724,43.31801,309.1767,0,451.4346,1.697919
76.9396,43.31801,318.6332,0,443.3686,1.640395
76.97668,43.31801,299.3845,0,459.2542,1.7616
76.98904,43.31801,325.7961,0,436.9275,1.599203
77.01376,43.31801,357.9291,0,404.7149,1.436051
76.40802,43.30901,595.5384,0,129.5523,0.8020782
76.75407,43.30901,297.8704,0,460.4146,1.771847
76.85294,43.30901,324.5014,0,438.1125,1.606503
76.89002,43.30901,291.2144,0,465.36,1.818252
76.90238,43.30901,307.7892,0,452.5759,1.706678
76.93946,43.30901,332.0681,0,431.058,1.564695
76.95182,43.30901,342.2014,0,421.1348,1.511803
76.96418,43.30901,327.7839,0,435.0902,1.588113
76.98889,43.30901,364.8527,0,397.1212,1.404918
76.11139,43.30002,464.8235,0,272.8968,1.064967
76.67982,43.30002,386.9081,0,371.6321,1.313682
76.8281,43.30002,509.9262,0,216.9966,0.9579107
76.84046,43.30002,460.1158,0,278.9383,1.077441
76.86517,43.30002,271.7477,0,478.3807,1.968013
76.87753,43.30002,293.6177,0,463.6034,1.801236
76.90225,43.30002,308.2065,0,452.2337,1.704035
76.92696,43.30002,334.1358,0,429.0766,1.553623
76.93932,43.30002,323.0936,0,439.3908,1.614514
76.96403,43.30002,336.9055,0,426.3874,1.53902
76.97639,43.30002,379.1324,0,380.8268,1.34455
77.01346,43.30002,387.3743,0,371.0741,1.311873
77.2606,43.30002,549.2723,0,173.1481,0.8798255
76.84033,43.29103,360.5093,0,401.9098,1.424298
76.85269,43.29103,279.9401,0,473.1615,1.902264
76.86504,43.29103,261.0578,0,484.6319,2.060473
76.92682,43.29103,345.4092,0,417.8838,1.495752
76.93918,43.29103,325.5007,0,437.1988,1.600863
76.95153,43.29103,328.867,0,434.0802,1.582131
76.96389,43.29103,380.8719,0,378.7883,1.337527
76.9886,43.29103,433.2739,0,313.5745,1.154137
77.17393,43.29103,582.3637,0,141.033,0.8228702
77.51988,43.29103,702.0894,0,62.39222,0.6644166
76.24724,43.28203,632.5187,0,101.2775,0.7486615
76.8155,43.28203,420.5304,0,329.9185,1.194234
76.84021,43.28203,293.0917,0,463.9909,1.804934
76.85256,43.28203,294.0921,0,463.2527,1.797913
76.87727,43.28203,311.3027,0,449.665,1.68466
76.88962,43.28203,308.0108,0,452.3942,1.705274
76.90198,43.28203,328.0266,0,434.8646,1.586768
76.91433,43.28203,337.8152,0,425.4956,1.53428
76.92668,43.28203,346.0533,0,417.2248,1.492567
76.95139,43.28203,381.1896,0,378.4147,1.336252
76.96374,43.28203,425.1782,0,323.9776,1.179311
77.09963,43.28203,712.8922,0,57.78853,0.6529114
77.37141,43.28203,830.3922,0,25.06382,0.5483445
76.85243,43.27304,304.6901,0,455.0851,1.726552
76.86479,43.27304,309.3013,0,451.3318,1.697137
76.87714,43.27304,327.8969,0,434.985,1.587487
76.88949,43.27304,319.5962,0,442.519,1.634742
76.9636,43.27304,455.0342,0,285.4808,1.091217
76.97595,43.27304,462.3657,0,276.0482,1.071445
76.9883,43.27304,558.5745,0,163.6542,0.8630834
77.05006,43.27304,640.3602,0,96.00572,0.738183
76.79056,43.26405,205.3637,0,507.8417,2.711356
76.82761,43.26405,292.7244,0,464.2602,1.807526
76.83996,43.26405,302.032,0,457.1938,1.743945
76.86466,43.26405,354.7741,0,408.1033,1.450669
76.88936,43.26405,354.5009,0,408.3947,1.451949
76.90171,43.26405,362.6163,0,399.5972,1.414835
76.9264,43.26405,417.7127,0,333.5057,1.203454
76.93875,43.26405,468.0152,0,268.8145,1.056662
76.9511,43.26405,486.2773,0,245.7553,1.011389
77.01285,43.26405,676.3573,0,74.80328,0.6934127
76.48174,43.25505,288.6453,0,467.2012,1.836777
76.56817,43.25505,436.7527,0,309.0886,1.143626
76.64226,43.25505,449.3129,0,292.8645,1.107128
76.74105,43.25505,430.4771,0,317.1747,1.162719
76.85218,43.25505,333.8802,0,429.3228,1.554983
76.86453,43.25505,350.0143,0,413.1276,1.47326
76.87687,43.25505,371.4632,0,389.679,1.376353
76.88922,43.25505,392.5388,0,364.849,1.292147
76.90157,43.25505,406.8039,0,347.2638,1.240443
76.91392,43.25505,433.6859,0,313.0434,1.152882
76.93861,43.25505,512.1714,0,214.3488,0.9531085
76.95096,43.25505,523.4714,0,201.2718,0.9296084
76.96331,43.25505,530.5106,0,193.3495,0.9155109
76.97566,43.25505,580.1118,0,143.0703,0.8265254
76.98801,43.25505,664.7996,0,81.09562,0.7072213
77.75359,43.25505,900,0,15.45801,0.5001037
76.69155,43.24606,304.01,0,455.6285,1.730971
76.82736,43.24606,329.7172,0,433.2828,1.577464
76.85205,43.24606,399.1151,0,356.8081,1.267818
76.8644,43.24606,396.1486,0,360.4502,1.278685
76.87674,43.24606,428.7514,0,319.3933,1.168074
76.88909,43.24606,433.3205,0,313.5142,1.153994
76.90144,43.24606,446.6795,0,296.2664,1.114597
76.92613,43.24606,479.5826,0,254.14,1.027557
76.95082,43.24606,541.4403,0,181.4141,0.8943999
76.96317,43.24606,573.1602,0,149.4975,0.8380035
76.97551,43.24606,617.7777,0,111.8617,0.7691327
76.98786,43.24606,662.0218,0,82.67849,0.7106172
76.80255,43.23707,340.6959,0,422.6428,1.519448
76.85192,43.23707,509.9389,0,216.9817,0.9578833
76.86427,43.23707,542.9536,0,179.798,0.8915487
76.88896,43.23707,526.6041,0,197.7241,0.9232846
76.91364,43.23707,485.9661,0,246.143,1.01213
76.95068,43.23707,551.1261,0,171.2277,0.8764405
76.96302,43.23707,608.5508,0,118.9463,0.7824886
76.98771,43.23707,637.5416,0,97.87247,0.7419175
77.03709,43.23707,577.7255,0,145.2532,0.8304321
76.7654,43.22808,319.9615,0,442.1955,1.632607
76.83945,43.22808,516.2797,0,209.5453,0.9444372
76.86414,43.22808,542.0602,0,180.751,0.8932295
76.87648,43.22808,540.4841,0,182.4399,0.89621
76.88882,43.22808,536.2451,0,187.0305,0.9043195
76.90117,43.22808,523.7374,0,200.9693,0.9290687
76.92585,43.22808,512.6299,0,213.81,0.9521332
76.93819,43.22808,548.2396,0,174.224,0.8817217
76.96288,43.22808,607.8733,0,119.4806,0.7834862
76.97522,43.22808,625.5119,0,106.1973,0.7582631
76.33336,43.21908,291.1912,0,465.3769,1.818418
76.82699,43.21908,520.2165,0,204.9944,0.9362648
76.85167,43.21908,535.8472,0,187.4649,0.9050874
76.86401,43.21908,538.0886,0,185.0256,0.9007758
76.87635,43.21908,541.6883,0,181.1487,0.8939313
76.88869,43.21908,533.8912,0,189.6094,0.9088824
76.90103,43.21908,534.4886,0,188.9529,0.9077199
76.91337,43.21908,526.3669,0,197.9915,0.9237606
